name,email,phone,subject,descriptin
xyz,xyz@gmail.com,1234567890,Enquiry,room availability
abc,abc@gmail.com,1234567890,Enquiry,room availability
def,def@gmail.com,1234567890,Enquiry,room availability
wxy,wxy@gmail.com,1234567890,Enquiry,room availability
pdf,pdf@gmail.com,1234567890,Enquiry,room availability
rst,rst@gmail.com,1234567890,Enquiry,room availability
tsr,tsr@gmail.com,1234567890,Enquiry,room availability
bjp,bjp@gmail.com,1234567890,Enquiry,room availability
nda,nda@gmail.com,1234567890,Enquiry,room availability
upa,upa@gmail.com,1234567890,Enquiry,room availability
spc,spc@gmail.com,1234567890,Enquiry,room availability
tqr,tqr@gmail.com,1234567890,Enquiry,room availability
mrs,mrs@gmail.com,1234567890,Enquiry,room availability
dmk,dmk@gmail.com,1234567890,Enquiry,room availability
aidmk,aidmk@gmail.com,1234567890,Enquiry,room availability
