Booking_dates_Check_in,Booking_dates_Check_out,depositPaid,firstName,lastName,email,phone
18/04/2024,19/04/2024,false ,John1,Smith1,john.smith1@gmail.com,1234567890
19/04/2024,20/04/2024,false ,John2,Smith2,john.smith1@gmail.com,1234567890
20/04/2024,21/04/2024,false ,John3,Smith3,john.smith1@gmail.com,1234567890
21/04/2024,22/04/2024,false ,John4,Smith4,john.smith1@gmail.com,1234567890
22/04/2024,23/04/2024,false ,John5,Smith5,john.smith1@gmail.com,1234567890
23/04/2024,24/04/2024,false ,John6,Smith6,john.smith1@gmail.com,1234567890
24/04/2024,25/04/2024,false ,John7,Smith7,john.smith1@gmail.com,1234567890
25/04/2024,26/04/2024,false ,John8,Smith8,john.smith1@gmail.com,1234567890
26/04/2024,27/04/2024,false ,John9,Smith9,john.smith1@gmail.com,1234567890
27/04/2024,28/04/2024,false ,John10,Smith10,john.smith1@gmail.com,1234567890
28/04/2024,29/04/2024,false ,John11,Smith11,john.smith1@gmail.com,1234567890
29/04/2024,30/04/2024,false ,John12,Smith12,john.smith1@gmail.com,1234567890
30/04/2024,01/05/2024,false ,John13,Smith13,john.smith1@gmail.com,1234567890
01/05/2024,02/05/2024,false ,John14,Smith14,john.smith1@gmail.com,1234567890
02/05/2024,03/05/2024,false ,John15,Smith15,john.smith1@gmail.com,1234567890
03/05/2024,04/05/2024,false ,John16,Smith16,john.smith1@gmail.com,1234567890
04/05/2024,05/05/2024,false ,John17,Smith17,john.smith1@gmail.com,1234567890
05/05/2024,06/05/2024,false ,John18,Smith18,john.smith1@gmail.com,1234567890
06/05/2024,07/05/2024,false ,John19,Smith19,john.smith1@gmail.com,1234567890
07/05/2024,08/05/2024,false ,John20,Smith20,john.smith1@gmail.com,1234567890
08/05/2024,09/05/2024,false ,John21,Smith21,john.smith1@gmail.com,1234567890
09/05/2024,10/05/2024,false ,John22,Smith22,john.smith1@gmail.com,1234567890
10/05/2024,11/05/2024,false ,John23,Smith23,john.smith1@gmail.com,1234567890
11/05/2024,12/05/2024,false ,John24,Smith24,john.smith1@gmail.com,1234567890
12/05/2024,13/05/2024,false ,John25,Smith25,john.smith1@gmail.com,1234567890
13/05/2024,14/05/2024,false ,John26,Smith26,john.smith1@gmail.com,1234567890
14/05/2024,15/05/2024,false ,John27,Smith27,john.smith1@gmail.com,1234567890
15/05/2024,16/05/2024,false ,John28,Smith28,john.smith1@gmail.com,1234567890
16/05/2024,17/05/2024,false ,John29,Smith29,john.smith1@gmail.com,1234567890
17/05/2024,18/05/2024,false ,John30,Smith30,john.smith1@gmail.com,1234567890
18/05/2024,19/05/2024,false ,John31,Smith31,john.smith1@gmail.com,1234567890
19/05/2024,20/05/2024,false ,John32,Smith32,john.smith1@gmail.com,1234567890
20/05/2024,21/05/2024,false ,John33,Smith33,john.smith1@gmail.com,1234567890
21/05/2024,22/05/2024,false ,John34,Smith34,john.smith1@gmail.com,1234567890
22/05/2024,23/05/2024,false ,John35,Smith35,john.smith1@gmail.com,1234567890
23/05/2024,24/05/2024,false ,John36,Smith36,john.smith1@gmail.com,1234567890
24/05/2024,25/05/2024,false ,John37,Smith37,john.smith1@gmail.com,1234567890
25/05/2024,26/05/2024,false ,John38,Smith38,john.smith1@gmail.com,1234567890
26/05/2024,27/05/2024,false ,John39,Smith39,john.smith1@gmail.com,1234567890
27/05/2024,28/05/2024,false ,John40,Smith40,john.smith1@gmail.com,1234567890
28/05/2024,29/05/2024,false ,John41,Smith41,john.smith1@gmail.com,1234567890
